time,PM2.5
2024-02-21 16:39:21,0.0
2024-02-21 16:39:22,0.06
2024-02-21 16:39:23,0.119
2024-02-21 16:39:25,0.179
2024-02-21 16:39:28,0.239
2024-02-21 16:39:29,0.299
2024-02-21 16:39:31,0.358
2024-02-21 16:39:32,0.418
2024-02-21 16:39:35,0.478
2024-02-21 16:39:40,0.537
2024-02-21 16:39:44,0.597
2024-02-21 16:39:48,0.657
2024-02-21 16:39:55,0.716
2024-02-21 16:40:02,0.776
2024-02-21 16:40:03,0.836
2024-02-21 16:40:11,0.896
2024-02-21 16:40:13,0.955
2024-02-21 16:40:15,1.015
2024-02-21 16:40:16,1.075
2024-02-21 16:40:19,1.134
2024-02-21 16:40:21,1.194
2024-02-21 16:40:23,1.254
2024-02-21 16:40:28,1.313
2024-02-21 16:40:34,1.373
2024-02-21 16:40:36,1.433
2024-02-21 16:40:43,1.493
2024-02-21 16:40:44,1.552
2024-02-21 16:40:52,1.612
2024-02-21 16:40:55,1.672
2024-02-21 16:41:02,1.731
2024-02-21 16:41:04,1.791
2024-02-21 16:41:08,1.851
2024-02-21 16:41:10,1.91
2024-02-21 16:41:13,1.97
2024-02-21 16:41:22,2.03
2024-02-21 16:41:30,2.09
2024-02-21 16:41:34,2.149
2024-02-21 16:41:41,2.209
2024-02-21 16:41:42,2.269
2024-02-21 16:41:44,2.328
2024-02-21 16:41:49,2.388
2024-02-21 16:41:57,2.448
2024-02-21 16:42:04,2.507
2024-02-21 16:42:12,2.567
2024-02-21 16:42:14,2.627
2024-02-21 16:42:21,2.687
2024-02-21 16:42:22,2.746
2024-02-21 16:42:25,2.806
2024-02-21 16:42:30,2.866
2024-02-21 16:42:38,2.925
2024-02-21 16:42:42,2.985
2024-02-21 16:42:45,3.045
2024-02-21 16:42:47,3.104
2024-02-21 16:42:54,3.164
2024-02-21 16:43:00,3.224
2024-02-21 16:43:03,3.284
2024-02-21 16:43:11,3.343
2024-02-21 16:43:12,3.403
2024-02-21 16:43:20,3.463
2024-02-21 16:43:23,3.522
2024-02-21 16:43:31,3.582
2024-02-21 16:43:32,3.642
2024-02-21 16:43:33,3.701
2024-02-21 16:43:41,3.761
2024-02-21 16:43:45,3.821
2024-02-21 16:43:49,3.881
2024-02-21 16:43:50,3.94
2024-02-21 16:43:55,4.0
2024-02-21 16:43:58,4.06
2024-02-21 16:44:02,4.119
2024-02-21 16:44:08,4.179
2024-02-21 16:44:11,4.239
2024-02-21 16:44:14,4.299
2024-02-21 16:44:17,4.358
2024-02-21 16:44:22,4.418
2024-02-21 16:44:23,4.478
2024-02-21 16:44:26,4.537
2024-02-21 16:44:28,4.597
2024-02-21 16:44:34,4.657
